Game Number,AI 1 Wins,AI 2 Wins,Ties,Total Moves,Average Game Time
1,10,0,0,250,1.1943390369415283
2,10,0,0,250,1.1943390369415283
3,10,0,0,250,1.1943390369415283
4,10,0,0,250,1.1943390369415283
5,10,0,0,250,1.1943390369415283
6,10,0,0,250,1.1943390369415283
7,10,0,0,250,1.1943390369415283
8,10,0,0,250,1.1943390369415283
9,10,0,0,250,1.1943390369415283
10,10,0,0,250,1.1943390369415283
